Date,Inflation,Population,GDP,Imports,Exports,Agriculture,Industry,Services,USDPHP,Nominal GDP,Imports_PHPMN,Exports_PHPMN,TotalTrade,TotalTrade_PHPMN,NominalGDP_disagg,Pop_disagg,Revenues,Tax Revenues,BIR,BOC,Other Offices,Non-tax Revenues,BTr Income,Fees and Charges,CARP,Income from Malampaya,Privatization,Grants,Economic Support Fund,Other non-tax,Sale of Assets,Marcos Wealth,Expenditures,Allotment to LGUs,Interest Payments,Tax Expenditures,Subsidy,Equity,Net Lending,NG Disbursements,COVID-19,TRAIN,CREATE,FIST,BIR_COMM
8/1/95,6.8,0,0,2273.59,1591.45,0,0,0,25.7109,0,58456.04513,40917.61181,3865.04,99373.65694,173313.16894323516,67478531.13660273,30354,27073,19467,7335,271,3281,1629,1634,0,0,18,0,0,0,0,0,30717,4722,5675,273,374,447,-235,19461,0,0,0,0,0
9/1/95,8,0,1336681,2444.22,1594.97,14.39,34.59,51.02,25.9692,537781,63474.43802,41420.09492,4039.19,104894.5329,189068.08904174904,67463469.00742762,25758,22035,12248,9544,243,3723,1631,1937,0,0,4,151,0,0,0,0,24077,4340,5272,448,176,0,157,13684,0,0,0,0,0
10/1/95,8.2,0,0,2342.36,1601.65,0,0,0,25.9654,0,60820.31434,41587.48291,3944.01,102407.7973,180512.6226284592,67452172.41054632,31494,29491,19701,9481,309,2003,956,978,0,0,68,1,0,0,0,0,29363,4359,5777,391,131,20,476,18209,0,0,0,0,0
11/1/95,8.4,0,0,2414.72,1422.63,0,0,0,26.1671,0,63186.21971,37226.10147,3837.35,100412.3212,177800.35544658097,67444641.34595874,27853,26915,18804,7912,199,938,261,669,0,0,5,3,0,0,0,0,27522,4359,6900,29,310,0,1042,14882,0,0,0,0,0
12/1/95,8.2,69019291,1568846.69,2571.39,1621.01,17.14,32.66,50.2,26.206,629594,67385.84634,42480.18806,4192.4,109866.0344,226018.30633543356,69323664.44393851,30870,25840,16342,9364,134,5030,2367,698,0,0,1872,93,0,0,0,0,30192,4359,5265,1657,231,506,398,17776,0,0,0,0,0
1/1/96,9.5,0,0,2236.09,1420.45,0,0,0,26.2116,0,58611.49664,37232.26722,3656.54,95843.76386,206688.1409277941,69161858.26389505,37796,31098,23547,7406,145,6698,5893,664,0,0,128,13,0,0,0,0,37576,4716,8433,0,1146,700,299,22282,0,0,0,0,0
2/1/96,9.3,0,0,2359.58,1594.01,0,0,0,26.1588,0,61723.7813,41697.38879,3953.59,103421.1701,215039.21304465647,69124666.80374853,24430,22145,13663,8232,250,2285,351,994,0,0,879,61,0,0,0,0,30380,4716,5613,69,1287,2,35,18658,0,0,0,0,0
3/1/96,9.5,0,1392448.47,2760.47,1670.6,17.04,32.82,50.14,26.1957,573212,72312.44398,43762.53642,4431.07,116074.9804,207370.3365650852,69090856.38543348,30792,24552,14915,9380,257,6240,2093,972,0,0,3175,0,0,0,0,0,26633,4716,4929,212,177,0,552,16047,0,0,0,0,0
4/1/96,9.4,0,0,2811.15,1491.87,0,0,0,26.1897,0,73623.17516,39071.62774,4303.02,112694.8029,193529.0554,69060427.00894998,51789,44947,36447,8285,215,6842,5927,815,0,0,23,77,0,0,0,0,36552,4748,6568,86,47,0,296,24807,0,0,0,0,0
5/1/96,9.2,0,0,2712.35,1612.18,0,0,0,26.1759,0,70998.20237,42200.26246,4324.53,113198.4648,190807.75654880423,69033378.67429797,32624,31147,21426,9445,276,1477,624,821,0,0,9,23,0,0,0,0,33736,4748,7162,117,256,165,107,21181,0,0,0,0,0
6/1/96,8.9,0,1409521.45,2750.55,1793.39,15.57,32.62,51.82,26.1944,596298,72049.00692,46976.77502,4543.9400000000005,119025.7819,205532.0369723252,69009711.38147745,25556,23175,15151,7773,251,2381,1321,1009,0,0,10,41,0,0,0,0,28690,4806,5363,86,364,442,-244,17873,0,0,0,0,0
7/1/96,8.7,0,0,2838.7,1693.69,0,0,0,26.1995,0,74372.52065,44373.83116,4532.389999999999,118746.3518,200327.62099564393,68989425.13048843,36458,34620,24676,9743,201,1838,642,1123,0,0,4,69,0,0,0,0,41254,4756,8425,228,98,0,-186,27933,0,0,0,0,0
8/1/96,8.2,0,0,2799.68,1773.89,0,0,0,26.1994,0,73349.93619,46474.85367,4573.57,119824.7899,199007.81011089217,68972519.92133091,34863,31696,22947,8654,95,3167,1905,1248,0,0,14,0,0,0,0,0,32530,4748,7645,173,187,338,91,19348,0,0,0,0,0
9/1/96,6.7,0,1417167.31,2870.06,1875.57,14,34.87,51.13,26.2356,614449,75297.74614,49206.70429,4745.63,124504.4504,210802.36626589292,68958995.75400491,29083,24479,15775,8416,288,4604,2853,1614,0,0,13,124,0,0,0,0,28867,4748,6358,166,386,20,329,16860,0,0,0,0,0
10/1/96,6.7,0,0,2858.51,1883.71,0,0,0,26.2693,0,75091.05674,49483.7431,4742.22,124574.7998,206330.30226340424,68948852.63,37966,36659,27578,8790,291,1307,722,381,0,0,147,57,0,0,0,0,38606,4884,6487,539,302,103,-19,26310,0,0,0,0,0
11/1/96,6.6,0,0,2711.55,1849.91,0,0,0,26.2658,0,71221.02999,48589.36608,4561.46,119810.3961,201671.2025016226,68942090.54,38178,36422,24627,11671,124,1756,693,845,0,0,198,20,0,0,0,0,34378,4884,4295,4308,114,14,237,20526,0,0,0,0,0
12/1/96,7.4,70546246,1626238.39,2718.24,1883.27,16.67,32.74,50.6,26.2925,697344,71469.3252,49515.87648,4601.51,120985.2017,236855.16254716495,70869918.95483412,30914,26954,20022,6771,161,3960,1569,1247,0,0,1060,84,0,0,0,0,34991,4886,5244,711,1498,231,-336,22757,0,0,0,0,0
1/1/97,5.4,0,0,2837.89,1692.26,0,0,0,26.3173,0,74685.6025,44535.7141,4530.15,119221.3166,232686.03294897388,70697853.07616931,37439,35261,28601,6489,171,2178,760,1170,0,0,110,138,0,0,0,0,40621,3842,6266,0,763,132,50,29568,0,0,0,0,0
2/1/97,5.2,0,0,2626.54,1812.42,0,0,0,26.3411,0,69185.95279,47741.13646,4438.96,116927.0893,231052.1586200381,70658303.40412515,26717,24203,17405,6604,194,2514,384,1099,0,0,11,1020,0,0,0,0,27085,8160,5131,0,605,3,19,13167,0,0,0,0,0
3/1/97,5.5,0,1464530.75,2935.16,2001.02,16.67,32.77,50.56,26.3319,636625,77288.3396,52690.65854,4936.18,129978.9981,222005.43876065427,70622349.15681224,32444,26041,18791,7060,190,6403,2426,1064,0,0,2594,319,0,0,0,0,29563,5772,6809,317,52,0,119,16494,0,0,0,0,0
4/1/97,5.2,0,0,2942.08,2082.43,0,0,0,26.3642,0,77565.58554,54901.60101,5024.51,132467.18654999998,215944.60944223337,70589990.33423069,54833,52624,44940,7512,172,2209,770,1425,0,0,5,9,0,0,0,0,36822,5920,6510,112,194,1,-35,24120,0,0,0,0,0
