Date,BIR,BOC,Other Offices,BTr Income,Fees and Charges,CARP,Income from Malampaya,Privatization,Grants,Economic Support Fund,Other non-tax,Sale of Assets,Marcos Wealth,Allotment to LGUs,Interest Payments,Tax Expenditures,Subsidy,Equity,Net Lending,NG Disbursements
10/1/2009,54920,18548,901,4082,2914,0,1881.151,1,1,0,2332.849,0,0,21969,14130,286,1960,153,1116,74512
11/1/2009,69958,17503,419,4178,1272,0,1802.602,0,0,0,1149.398,0,0,21888,10734,1236,2320,570,1629,64347
12/1/2009,68374,18860,575,9413,1176,0,1852.705,299,103,0,888.295,0,0,21564,18719,6736,598,63,-7853,87723
1/1/2010,64606,17605,742,5068,1766,0,1207.025,0,0,0,1270.975,0,0,22521,37602,1,800,0,401,68065
2/1/2010,50975,18076,1158,2977,2304,0,4.851,0,145,0,1059.149,0,0,22193,31399,299,34,0,840,55122
3/1/2010,58311,24900,1016,5777,1631,0,3196.658,0,40,0,1988.342,0,0,25724,39897,6575,2490,449,1447,84144
4/1/2010,91162,22773,915,5149,1634,0,1101.1,95,23,0,1615.9,0,0,22088,15654,4983,1110,0,610,77424
5/1/2010,79049,24119,912,2639,1563,0,0,0,67,0,1368,0,0,26413,11817,7141,2846,20,375,91632
6/1/2010,59366,23249,1327,3495,1579,0,1817.044,51,90,0,1120.956,0,0,25891,10333,6041,183,357,786,83126
7/1/2010,63813,22238,1088,9614,1905,0,2504.469,105,5,0,1635.531,0,0,23144,42760,1831,1803,70,428,65566
8/1/2010,79090,17762,1312,4369,1687,0,1971.639,176,0,0,1438.361,0,0,22149,23264,403,86,1,310,60274
9/1/2010,60958,20232,1034,4357,1746,0,1548.325,14,1,0,2007.675,0,0,22343,31823,1902,319,1,1334,65860
10/1/2010,63565,22577,934,4179,3794,0,1981.526,111,2,0,1359.474,0,0,22297,13985,6902,6282,1,962,58588
11/1/2010,82430,19969,1014,2845,1535,0,2425.493,0,0,0,1316.507,0,0,22443,16441,2238,367,281,699,68584
12/1/2010,69298,25741,327,3846,1676,0,-473.519,362,33,0,2362.519,0,0,22346,19269,8647,4685,969,1066,90828
1/1/2011,74569,20535,916,30981,2053,0,3327.681,585,1,0,2943.319,0,0,25409,35837,1137,1123,0,663,58318
2/1/2011,53418,18583,986,2621,2224,0,843.621,16,0,0,1323.379,0,0,26340,22151,604,3193,0,318,48899
3/1/2011,71562,23500,1583,4529,2656,0,1796.125,69,0,0,1456.875,0,0,24627,32732,8350,2757,0,1441,55376
4/1/2011,103393,22440,949,6247,1675,0,2891.286,5,2,0,732.714,0,0,24450,11432,2528,110,116,3664,69777
5/1/2011,88150,21836,1099,4046,1825,0,2160.767,2,0,0,969.233,0,0,28499,15645,1246,5491,0,4106,74702
6/1/2011,66904,21663,1354,2350,1840,0,2489.278,5,0,0,3533.722,0,0,25869,16705,914,1488,0,2168,60686
7/1/2011,73789,21283,1092,5814,2108,0,830.835,0,30,0,2016.165,0,0,25563,41199,741,1103,188,915,63736
8/1/2011,87928,22152,1028,4504,2431,0,2737.465,21,11,0,3335.535,0,0,24994,20906,3063,2137,0,282,63546
9/1/2011,66547,22615,1486,5779,1896,0,3060.565,22,6,0,2925.435,0,0,24314,25835,878,1708,0,1644,68459
10/1/2011,70504,22843,1018,2623,3790,0,3066.325,5,1,0,88.675,0,0,25628,12657,3756,12630,11028,1093,58404
11/1/2011,92751,25510,977,2725,1818,0,3072.252,0,1,0,1890.748,0,0,26106,16408,4179,13469,1046,705,88835
12/1/2011,74631,22148,324,3336,1732,0,2092.777,200,203,0,5503.223,0,0,33315,27489,6137,8496,511,1056,134666
1/1/2012,85147,21990,895,11052,1962,0,1687.631,0,27,0,3593.369,0,0,23565,50280,32,441.179,0,1244,66735
2/1/2012,68694,22433,1277,20135,2735,0,2352.305,0,11,0,1551.695,0,0,24002,20571,410,1093.574,0,241,62216
3/1/2012,75203,25106,1514,6573,1995,0,2546.659,6,0,0,2487.341,0,0,23439,27638,7795,4096.785,0,1677,79407
4/1/2012,116221,25367,972,4087,1715,0,2737.665,0,1,0,2167.335,0,0,23254,16138,3115,2801.832,0,811,76124
5/1/2012,94551,25230,1593,5039,2214,0,2667.277,0,18,0,90.723,0,0,28550,16362,621,3520.263,900,3904,97405
6/1/2012,81343,23299,1081,3337,2185,0,3311.387,0,9,0,710.613,0,0,26578,19021,5285,820.187,0,3742.275,71468
7/1/2012,83517,24391,1091,7681,2539,0,2611.423,35,1,0,1442.577,0,0,25522,51289,2849,1228.868,0,2254,79415
8/1/2012,96756,22632,1058,2970,2100,0,1942.411,0,11,0,1938.589,0,0,23915,19816,577,1367.426,0,578,80632
9/1/2012,71036,23208,1173,4181,2234,0,1697.466,448,0,0,1331.534,0,0,24613,24134,1076,3096.337,0,7580.343,77643
10/1/2012,86105,26934,1723,6298,4463,0,2837.191,0,0,0,5959.809,0,0,25899,21440,2730,2014.825,143,5907,87850
11/1/2012,110767,23749,726,8607,1875,0,2447.038,7793,13,0,-669.038,0,0,24209,15648,2652,6190.345,127,817.394,117139
12/1/2012,88576,25527,196,4120,1776,0,2232.179,66,8,0,3855.821,0,0,24776,30461.988,10936,15965.425,20170,-1335.434,141128
1/1/2013,94718,24540,1181,9350,2871,0,2006.674,0,0,0,3701.326,0,0,26006,54841,153,287,93,-9918,86437
2/1/2013,74519,22471,1166,6962,2595,0,2080.355,9,27,0,2518.645,0,0,25954,17920,795,1822,36,287,77283
3/1/2013,74825,21805,1501,8594,2054,0,2219.753,0,0,0,2610.247,0,0,28328,25575,409.447,2059,97,1515,90823.553
4/1/2013,148989,27137,1164,6275,2607,0,2439.329,48,54,0,1296.671,0,0,25529,23681,10409.85,1064,9,610,91904.15
5/1/2013,111899,25925,1154,9418,2326,0,2163.612,0,0,0,1153.388,0,0,29623,16700,1127.42,1006,98,3331,115317.58
6/1/2013,88761,23253,1307,8934,1723,0,2582.893,222,5,0,4301.107,0,0,28463,18418,560.14,6978,0,734,84386.86
7/1/2013,100098,27674,1389,7945,2841,0,2080.34,72,0,0,2522.66,0,0,25842,53510,1358.3,18750,156,2536,95691.7
8/1/2013,118110,26086,1532,3427,2444,0,248.866,0,0,0,3291.134,0,0,25223,18230,676,1791,0,835,86483
9/1/2013,86034,25733,1091,7219,2142,0,2136.752,0,42,0,2938.248,0,0,25812,29214,1951,1643,92,2268,84972
10/1/2013,95587,27863,1238,3592,5047,0,1906.122,0,10,0,-934.122,0,0,25831,20484,2067,507,76,1012,95569
11/1/2013,126462,28254,618,3783,2139,0,2062.671,2459,0,0,-781.671,0,0,26680,18116,2272,3167,7,12802,100952
12/1/2013,96659,24184,771,5514,1752,0,2160.482,126,183,0,18878.518,0,0,23964,26745,1233,27255,10815,614,112200
1/1/2014,104151,29773,1168,7531,2726,0,414.512,0,20,0,3038.488,0,0,28160,56465,30,667,0,2938,94780
2/1/2014,78378,27416,1308,5614,2001,0,102.649,1315,44,0,4107.351,0,0,28617,15865,0,191,110,-1441,86662
3/1/2014,82176,29313,1711,7812,3479,0,2516.638,0,16,0,2279.362,0,0,28327,30799,30,369,28,3412,106524
4/1/2014,156111,30764,1084,30829,2465,0,2190.083,16,8,0,981.917,0,0,28218,13398,10485,253,135,712,90396
5/1/2014,128273,28809,1217,4103,3503,0,2036.36,380,1,0,3911.64,0,0,30496,23594,2720,1737,101,344,101460
6/1/2014,94120,27327,1350,7050,2671,0,2085.609,1,0,0,4035.391,0,0,30264,19620,626,46323,59,493,103741
7/1/2014,119942,30460,1238,7506,2471,0,2240.184,144,38,0,2690.816,0,0,29223,48224,263,6628,202,484,83468
8/1/2014,127565,29061,1794,5263,2564,0,2300.089,0,6,0,1426.911,0,0,28216,20598,763,3075,32,310,87121
9/1/2014,105708,32866,1238,5581,2028,0,2185.087,41,41,0,4877.913,0,0,28337,28830,1014,2965,565,1163,96890
10/1/2014,101801,34160,1446,4881,3279,0,2256.413,2,2,0,4435.587,0,0,27199,16767,967,1430,206,1008,107216
11/1/2014,121889,24691,1005,3408,4051,0,1953.603,4,13,0,1206.397,0,0,28538,18099,682,2685,52,3771,97570
12/1/2014,114648,44637,388,3866,1533,0,2002.325,43,44,0,5871.675,0,0,28640,28926,11952,14117,258,201,135256
1/1/2015,121134,29381,1050,8928,1736,0,2211.71,142,51,0,2018.29,0,0,32489,51391,0,145,0,850,88249
2/1/2015,88891,27194,1420,4377,3710,0,1833.998,0,38,0,5308.002,0,0,32286,18902,493,685,15,217,89847
3/1/2015,97063,35717,1813,24569,2596,0,1455.498,42,26,0,7824.502,0,0,32291,30321,6239,2862,131,1151,115483
4/1/2015,160777,28136,1206,11579,3265,0,1614.933,0,2,0,2524.067,0,0,32277,15677,888,785,146,436,106296
5/1/2015,128454,26699,1771,10952,4091,0,679.886,60071,1,0,9806.114,0,0,32277,20626,1313,4546,0,342,116084
6/1/2015,109550,31522,1253,6630,2562,0,310.9,2351,0,0,9397.1,0,0,32277,19205,199,34947,25,-337,149933
7/1/2015,118193,30033,1152,14185,2358,0,1257.79,126,2,0,11167.21,0,0,32277,53078,334,2318,0,267,122398
8/1/2015,138529,26895,1691,2683,3231,0,1073.532,0,0,0,2553.468,0,0,32277,16457,487,8802,19,162,103412
9/1/2015,112268,32651,1270,7952,2987,0,694.706,15,23,0,6251.294,0,0,32277,30094,508,729,0,1404,121240
10/1/2015,115761,32490,1076,5585,5520,0,1044.813,0,3,0,1535.187,0,0,32277,16144,1547,6480,176,4404,129009
11/1/2015,136368,29061,530,3101,2188,0,1045.495,9,10,0,5138.505,0,0,32277,15992,416,3707,25,380,118625
12/1/2015,106314,37755,407,9494,2161,0,1097.357,27,8,0,6249.643,0,0,32277,21477,5397,12007,230,420,166849
1/1/2016,129652,31083,1161,7930,3362,0,1393.796,0,5,0,7639.204,0,0,40501,45594.453,160,1697,3029,31,94688
